"","ExN","InN","Astro","Oligo","OPC","Micro","Endo","Mural","Epend","Granule","Purkinje","Bergmann","UBC_Golgi"
"0",0.15,-0.502,-0.393,-0.086,-0.35,-0.189,0.001,-0.361,-0.349,1.057,-0.389,-0.304,-0.114
"1",0.226,-0.361,-0.166,-0.013,-0.278,-0.172,0.052,-0.257,-0.462,0.881,-0.098,-0.073,-0.191
"2",-0.149,-0.616,-0.438,-0.12,-0.404,-0.209,-0.23,-0.375,-0.589,1.176,-0.419,-0.425,0.081
"3",-0.211,-0.645,-0.419,-0.161,-0.411,-0.208,0.09,-0.368,-0.565,0.668,-0.445,-0.389,0.178
"4",0.07,-0.641,-0.507,-0.081,-0.422,-0.217,-0.093,-0.379,-0.581,0.96,-0.43,-0.436,0.238
"5",0.388,-0.423,-0.122,0.117,-0.307,-0.2,0.094,-0.098,-0.188,1.005,0.22,-0.131,0.094
"6",1.018,-0.536,-0.342,-0.084,-0.375,-0.177,-0.097,-0.353,-0.756,0.818,-0.271,-0.266,-0.015
"7",-1.347,2.646,-0.671,-0.703,0.976,-0.251,-0.713,-0.361,-0.388,-1.53,-0.062,-0.519,2.009
"8",1.581,-0.424,2.818,-0.437,-0.455,-0.261,-0.349,-0.001,0.369,-0.706,-0.524,2.694,-1.049
"9",-0.389,-0.634,-0.483,-0.011,-0.424,-0.218,0.497,-0.389,-0.684,0.615,-0.516,-0.36,-0.238
"10",-1.522,1.958,-0.78,-0.708,-0.136,-0.273,-0.704,-0.392,-0.808,-1.349,-0.254,-0.618,1.937
"11",-0.041,-0.35,-0.525,4.214,-0.104,-0.274,-0.337,-0.418,-0.176,0.072,-0.511,0.47,-1.058
"12",-0.808,0.633,0.686,-0.28,4.13,-0.228,-0.418,-0.419,0.47,-1.055,-0.321,-0.12,-1.097
"13",-0.566,-0.471,-0.444,-0.114,-0.31,4.361,-0.084,-0.287,-0.706,-0.528,-0.056,-0.455,-0.899
"14",0.343,-0.386,0.363,0.372,-0.255,-0.142,-0.151,-0.199,-0.922,1.145,0.516,0.477,0.241
"15",-0.063,0.031,-0.347,-0.109,-0.188,-0.227,-0.109,-0.343,2.947,0.605,4.176,-0.247,0.135
"16",1.936,-0.558,2.834,-0.256,-0.386,-0.252,-0.179,-0.309,0.11,0.128,-0.335,3.022,-0.681
"17",-0.153,-0.445,-0.255,-0.234,-0.324,-0.189,4.168,3.414,2.407,-0.299,-0.04,-0.445,-0.795
"18",1.966,0.094,-0.494,-0.404,-0.314,-0.278,-0.463,-0.341,0.717,-1.005,-0.352,-0.555,0.282
"19",-1.533,2.19,-0.506,-0.606,0.059,-0.26,-0.724,-0.27,0.199,-2.006,0.395,-0.747,2.213
"20",-0.896,-0.562,0.189,-0.297,0.277,-0.134,-0.25,2.507,-0.045,-0.654,-0.285,-0.571,-1.273
