"cluster","type","top_z","margin","n","major","subtype"
"0","Granule",1.06,0.91,13141,"GranuleN","Granule"
"1","Granule",0.88,0.66,7212,"GranuleN","Granule"
"2","Granule",1.18,1.1,6316,"GranuleN","Granule"
"3","Granule",0.67,0.49,5657,"GranuleN","Granule"
"4","Granule",0.96,0.72,4967,"GranuleN","Granule"
"5","Granule",1.01,0.62,4464,"GranuleN","Granule"
"6","ExN",1.02,0.2,3256,"ExN","ExN"
"7","InN",2.65,0.64,2655,"InN","InN"
"8","Astro",2.82,0.12,2580,"Astro","Astro"
"9","Granule",0.61,0.12,2062,"GranuleN","Granule"
"10","InN",1.96,0.02,1650,"InN","InN"
"11","Oligo",4.21,3.74,1527,"Oligo","Oligo"
"12","OPC",4.13,3.44,742,"OPC","OPC"
"13","Micro",4.36,4.42,733,"Micro","Micro"
"14","Granule",1.14,0.63,702,"GranuleN","Granule"
"15","Purkinje",4.18,1.23,488,"Purkinje","Purkinje"
"16","Bergmann",3.02,0.19,398,"Astro","Bergmann"
"17","Endo",4.17,0.75,386,"Vascular","Endo"
"18","ExN",1.97,1.25,271,"ExN","ExN"
"19","UBC_Golgi",2.21,0.02,174,"InN","UBC_Golgi"
"20","Mural",2.51,2.23,107,"Vascular","Mural"
