p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.15165969469457,0.587,0.3,0,0,ENSG00000229807
3.92382825102092e-186,0.618843149884697,0.644,0.626,1.43616037815617e-181,0,ENSG00000286679
1.67583813506451e-99,1.02977260418785,0.446,0.445,6.13373515814963e-95,0,ENSG00000240499
4.81824233007749e-95,0.96771000904647,0.489,0.518,1.76352487523166e-90,0,ENSG00000257242
3.91065321935383e-71,0.571758467146253,0.186,0.308,1.43133818481569e-66,0,ENSG00000138735
9.74775107239347e-50,0.880325987135426,0.499,0.568,3.56777437000673e-45,0,ENSG00000257815
2.94360416615175e-49,0.781735094692623,0.457,0.507,1.0773885608532e-44,0,ENSG00000227906
2.23288913854284e-46,0.571184959461196,0.225,0.344,8.17259753598066e-42,0,ENSG00000173214
1.30548252251545e-41,0.528120971298575,0.187,0.281,4.77819658065879e-37,0,ENSG00000125952
3.93967213922086e-39,0.522473687921676,0.22,0.326,1.44195939967623e-34,0,ENSG00000063177
6.05907977287452e-39,0.616543314918001,0.206,0.308,2.2176837876698e-34,0,ENSG00000250166
7.4986207040066e-39,0.554944626354224,0.191,0.284,2.74457016387345e-34,0,ENSG00000228061
3.24711109285026e-38,0.507623933479126,0.196,0.29,1.18847513109412e-33,0,ENSG00000164946
2.06145355539734e-33,0.549643721747467,0.238,0.349,7.54512615810979e-29,0,ENSG00000189043
8.79713045699852e-33,0.571918512653288,0.195,0.285,3.21983771856603e-28,0,ENSG00000174963
3.55205363261514e-31,0.504118961278044,0.209,0.301,1.30008715007347e-26,0,ENSG00000138675
6.89560512098583e-29,0.865360593632237,0.408,0.458,2.52386043033202e-24,0,ENSG00000258637
1.5400188707301e-28,0.502691599534539,0.259,0.372,5.63662306875926e-24,0,ENSG00000142676
3.47705370526561e-27,0.501123597467534,0.261,0.373,1.27263642666427e-22,0,ENSG00000115268
1.2190827002272e-25,0.920228756572904,0.347,0.371,4.46196459110158e-21,0,ENSG00000246859
7.86481573365762e-25,0.676301466915969,0.196,0.279,2.87860120667603e-20,0,ENSG00000187210
3.67644675397001e-23,0.57861972804132,0.214,0.3,1.34561627642056e-18,0,ENSG00000109943
3.36095457543315e-19,0.641749977413491,0.428,0.491,1.23014298415429e-14,0,ENSG00000165548
3.45502707748775e-18,0.528730502103629,0.278,0.385,1.26457446063129e-13,0,ENSG00000142534
5.23382174493996e-16,0.562015950488627,0.216,0.289,1.91563109686547e-11,0,ENSG00000106066
1.06182480110215e-13,0.818566528643153,0.334,0.366,3.88638495451399e-09,0,ENSG00000287469
1.69343770229319e-11,0.599383205006479,0.244,0.324,6.19815133416332e-07,0,ENSG00000154263
1.55543018580067e-10,0.611379476628844,0.248,0.329,5.69303002304904e-06,0,ENSG00000128833
2.56388300122872e-10,0.748668633267117,0.231,0.307,9.38406817279725e-06,0,ENSG00000197061
1.28016261011406e-09,0.561908129670976,0.344,0.454,4.68552316927847e-05,0,ENSG00000197826
6.40811478332525e-07,1.10044930547575,0.273,0.306,0.0234543409184488,0,ENSG00000223351
4.07987404252027e-06,0.501423553781701,0.403,0.471,0.149327469830284,0,ENSG00000151838
5.61671485615709e-05,0.523198429030862,0.462,0.571,1,0,ENSG00000253230
0.000203425035507396,1.07909861583126,0.231,0.251,1,0,ENSG00000253819
0,1.83669030155152,0.795,0.55,0,1,ENSG00000198712
0,1.81234581344474,0.829,0.589,0,1,ENSG00000198727
0,1.9448069284521,0.822,0.584,0,1,ENSG00000198840
0,1.88087608933924,0.737,0.504,0,1,ENSG00000198763
0,1.83969221930857,0.691,0.486,0,1,ENSG00000198886
0,1.65361888636764,0.903,0.713,0,1,ENSG00000198804
0,1.68536296520208,0.964,0.778,0,1,ENSG00000198938
3.95828985109811e-244,1.91661001517053,0.421,0.319,1.44877366840042e-239,1,ENSG00000212907
7.06724467482786e-226,1.7642705434417,0.433,0.338,2.58668222343374e-221,1,ENSG00000198899
4.63013258699108e-218,1.47976526356713,0.505,0.454,1.69467482816461e-213,1,ENSG00000269028
2.27886657540401e-160,1.8552547523881,0.358,0.276,8.34087955263621e-156,1,ENSG00000198888
6.12927635440353e-144,0.676185615376291,0.689,0.781,2.24337643847524e-139,1,ENSG00000203930
1.56595580905073e-109,0.502262383476395,0.109,0.251,5.73155485670657e-105,1,ENSG00000170759
8.07659986542703e-107,1.71676941410694,0.356,0.305,2.95611631674495e-102,1,ENSG00000198786
5.84846665831895e-102,0.528800658672478,0.125,0.272,2.14059728161132e-97,1,ENSG00000166913
9.90657289463943e-100,0.520910578410694,0.119,0.259,3.62590474516698e-95,1,ENSG00000105968
2.54354282440108e-90,0.530686102746974,0.124,0.259,9.30962109159038e-86,1,ENSG00000148943
2.60522498114409e-90,0.517037885324273,0.12,0.253,9.53538395348548e-86,1,ENSG00000173674
3.00016126257709e-77,0.628747140702317,0.154,0.297,1.09808902371584e-72,1,ENSG00000104964
