"","ExN","InN","Astro","Oligo","OPC","Micro","Endo","Mural","Epend","DG","CA"
"0",-0.367,-0.027,-0.246,3.803,-0.025,-0.176,-0.157,-0.198,-0.208,1.074,0.457
"1",0.275,-0.403,2.829,0.224,-0.264,-0.224,-0.22,0.078,-0.162,-0.299,-1.221
"2",-0.031,-0.096,0.861,1.279,0.078,-0.05,0.01,-0.02,-0.107,0.338,0.175
"3",-0.501,-0.27,-0.038,0.707,-0.182,3.936,0.057,-0.171,-0.324,-0.117,-0.534
"4",-0.662,0.882,0.304,0.103,3.802,-0.223,-0.209,-0.222,-0.197,0.268,-1.416
"5",-0.19,-0.473,0.015,-0.177,-0.167,-0.288,-0.225,-0.263,-0.189,-0.05,0.395
"6",-0.657,-0.609,-0.644,-0.55,-0.526,-0.43,-0.403,-0.364,-0.234,3.109,0.408
"7",0.332,-0.553,-0.297,-0.29,-0.447,-0.328,-0.252,-0.269,-0.266,-0.308,0.45
"8",-0.4,-0.243,0.808,0.842,-0.038,-0.098,4.087,0.698,-0.275,0.026,-0.444
"9",-0.86,0.969,-0.572,-0.42,0.288,-0.385,-0.314,0.055,-0.321,-0.455,-1.183
"10",2.109,-0.822,-1.179,-1.206,-0.79,-0.56,-0.51,-0.424,-0.363,-1.065,1.844
"11",-0.416,-0.336,0.209,0.498,-0.295,0.684,0.06,0.206,3.098,-0.019,0.443
"12",-0.895,2.859,-0.379,-0.384,-0.073,-0.279,-0.3,-0.257,-0.357,2.366,-0.39
"13",0.007,-0.386,1.229,0.112,-0.183,-0.213,-0.275,-0.23,3.643,-0.155,-1.166
"14",-0.907,3.009,-0.474,-0.35,-0.004,-0.356,-0.338,-0.344,-0.336,1.141,-0.424
"15",-0.731,-0.074,0.152,0.318,-0.04,-0.079,2.42,4.749,-0.395,-0.093,-0.772
"16",-0.615,-0.396,-0.403,0.321,-0.339,-0.211,-0.103,-0.274,-0.234,0.051,-0.959
"17",0.493,-0.681,-0.387,-0.572,-0.376,-0.464,-0.343,-0.382,-0.39,-0.901,0.023
"18",-0.325,-0.679,-0.712,-0.678,-0.391,-0.493,-0.44,-0.18,-0.45,-0.712,1.04
"19",1.96,-0.459,-0.602,-0.486,-0.565,-0.433,-0.359,-0.335,-0.339,-0.757,1.258
"20",-0.397,0.404,1.2,0.143,2.621,0.405,-0.19,-0.133,-0.245,0.01,-1.33
"21",-0.375,-0.31,-0.486,-0.485,-0.387,-0.33,-0.304,-0.321,-0.28,0.082,0.663
"22",-1.059,0.852,-1.015,-0.811,0.176,-0.546,-0.464,-0.446,-0.412,-0.84,1.156
"23",2.644,-0.829,-1.031,-1.028,-0.779,-0.645,-0.548,-0.397,-0.06,-1.095,0.981
"24",-0.123,-0.49,2.156,0.39,-0.307,2.398,-0.15,-0.051,-0.186,-0.333,-1.266
"25",1.689,-0.838,-1.298,-1.304,-0.787,-0.612,-0.528,-0.507,-0.412,-1.266,1.812
