"cluster","type","top_z","margin","n","major","subtype"
"0","Oligo",3.8,2.73,22779,"Oligo","Oligo"
"1","Astro",2.83,2.55,9479,"Astro","Astro"
"2","Oligo",1.28,0.42,6711,"Oligo","Oligo"
"3","Micro",3.94,3.23,6171,"Micro","Micro"
"4","OPC",3.8,2.92,5923,"OPC","OPC"
"5","CA",0.39,0.38,5807,"ExN","CA"
"6","DG",3.11,2.7,4277,"ExN","DG"
"7","CA",0.45,0.12,3310,"ExN","CA"
"8","Endo",4.09,3.25,2172,"Vascular","Endo"
"9","InN",0.97,0.68,2147,"InN","InN"
"10","ExN",2.11,0.26,2048,"ExN","ExN"
"11","Epend",3.1,2.41,1980,"Ependymal","Epend"
"12","InN",2.86,0.49,1952,"InN","InN"
"13","Epend",3.64,2.41,1830,"Ependymal","Epend"
"14","InN",3.01,1.87,1614,"InN","InN"
"15","Mural",4.75,2.33,1542,"Vascular","Mural"
"16","Oligo",0.32,0.27,1248,"Oligo","Oligo"
"17","ExN",0.49,0.47,1100,"ExN","ExN"
"18","CA",1.04,1.22,1003,"ExN","CA"
"19","ExN",1.96,0.7,983,"ExN","ExN"
"20","OPC",2.62,1.42,800,"OPC","OPC"
"21","CA",0.66,0.58,790,"ExN","CA"
"22","CA",1.16,0.3,750,"ExN","CA"
"23","ExN",2.64,1.66,610,"ExN","ExN"
"24","Micro",2.4,0.24,386,"Micro","Micro"
"25","CA",1.81,0.12,328,"ExN","CA"
