p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.58672529551715,0.883,0.307,0,0,ENSG00000147488
0,3.5277751959949,0.831,0.257,0,0,ENSG00000187147
0,3.37652967326024,0.759,0.239,0,0,ENSG00000164124
0,3.69817799996213,0.665,0.158,0,0,ENSG00000227088
0,3.18111952136291,0.704,0.2,0,0,ENSG00000183960
0,3.2933868462853,0.715,0.213,0,0,ENSG00000168314
0,3.11677584770025,0.707,0.206,0,0,ENSG00000154493
0,3.76258797055248,0.608,0.121,0,0,ENSG00000253877
0,3.44567428579687,0.929,0.447,0,0,ENSG00000183230
0,3.13611326043369,0.654,0.173,0,0,ENSG00000136960
0,3.35986387611146,0.645,0.183,0,0,ENSG00000091513
0,2.91223519588321,0.625,0.184,0,0,ENSG00000198121
0,3.17302656692545,0.658,0.219,0,0,ENSG00000054690
0,2.72551856277015,0.701,0.27,0,0,ENSG00000147459
0,2.60630939809123,0.722,0.297,0,0,ENSG00000198597
0,2.71824513551173,0.72,0.296,0,0,ENSG00000114541
0,3.41565789170492,0.536,0.12,0,0,ENSG00000174607
0,3.35260169194409,0.617,0.201,0,0,ENSG00000285051
0,3.06600534200764,0.578,0.163,0,0,ENSG00000188153
0,3.43192078773362,0.527,0.114,0,0,ENSG00000259070
0,3.04583239248406,0.851,0.438,0,0,ENSG00000123560
0,2.84040322525385,0.755,0.344,0,0,ENSG00000154678
0,2.81966477237557,0.66,0.255,0,0,ENSG00000146592
0,2.78537880963639,0.803,0.401,0,0,ENSG00000179104
0,3.26428853911055,0.565,0.166,0,0,ENSG00000164161
0,2.74339234418857,0.872,0.475,0,0,ENSG00000155886
0,2.51688415242173,0.602,0.205,0,0,ENSG00000064787
0,2.8228715306286,0.853,0.462,0,0,ENSG00000150867
0,3.21567754995748,0.506,0.118,0,0,ENSG00000084453
0,3.04484572554979,0.526,0.14,0,0,ENSG00000158352
0,2.88060685248614,0.605,0.228,0,0,ENSG00000165959
0,2.86079977040307,0.754,0.389,0,0,ENSG00000106772
0,2.49475239569943,0.897,0.534,0,0,ENSG00000197971
0,2.55825734146374,0.686,0.326,0,0,ENSG00000109458
0,2.95214855190382,0.528,0.176,0,0,ENSG00000065809
0,3.40516635819816,0.436,0.087,0,0,ENSG00000141338
0,2.14726177819147,0.841,0.494,0,0,ENSG00000155849
0,2.88095050358998,0.791,0.446,0,0,ENSG00000112893
0,2.17039054726131,0.805,0.464,0,0,ENSG00000196104
0,3.66755972988545,0.41,0.069,0,0,ENSG00000086205
0,3.420611430055,0.427,0.087,0,0,ENSG00000150656
0,2.14040146776016,0.805,0.466,0,0,ENSG00000135905
0,3.63713377388134,0.467,0.128,0,0,ENSG00000286749
0,2.23437510931499,0.804,0.467,0,0,ENSG00000176771
0,3.32707930403666,0.436,0.1,0,0,ENSG00000011426
0,3.43858776407308,0.408,0.08,0,0,ENSG00000197430
0,2.72428569191465,0.879,0.553,0,0,ENSG00000070214
0,2.82446514133594,0.632,0.308,0,0,ENSG00000168297
0,3.48375561579705,0.407,0.083,0,0,ENSG00000154864
0,3.61937799716628,0.405,0.083,0,0,ENSG00000251138
0,2.56400023161896,0.614,0.294,0,0,ENSG00000152910
0,2.45138633829883,0.48,0.16,0,0,ENSG00000146122
0,3.21273982108848,0.452,0.133,0,0,ENSG00000140479
0,2.36174939963234,0.857,0.54,0,0,ENSG00000171877
0,3.53765043034878,0.382,0.066,0,0,ENSG00000204655
0,3.6063834448891,0.377,0.069,0,0,ENSG00000167123
0,3.31616339020037,0.389,0.083,0,0,ENSG00000013297
0,2.31864047990805,0.776,0.471,0,0,ENSG00000115896
0,2.35794213011985,0.636,0.331,0,0,ENSG00000198822
0,2.87404127816851,0.497,0.194,0,0,ENSG00000249853
0,3.01419335258842,0.529,0.228,0,0,ENSG00000228624
0,2.61244432645519,0.653,0.357,0,0,ENSG00000134851
0,2.65055889310407,0.438,0.142,0,0,ENSG00000118322
0,2.93081499233063,0.427,0.131,0,0,ENSG00000028116
0,3.18317102224967,0.417,0.121,0,0,ENSG00000253807
0,3.30079126281869,0.371,0.077,0,0,ENSG00000103089
0,2.44116480006647,0.7,0.406,0,0,ENSG00000073417
0,2.51896046782157,0.815,0.529,0,0,ENSG00000137941
0,1.93220306874174,0.836,0.55,0,0,ENSG00000164176
0,2.65382951333841,0.471,0.187,0,0,ENSG00000075651
