celltype,state,mark,pathway,NES,pval,padj,size
Astro,Homeostatic,H3K27ac,UV Response Dn,-1.915,5.34e-10,0,140
Astro,Homeostatic,H3K27ac,Endoderm differentiation WP2853,-1.79,4.04e-08,1e-04,139
Astro,Homeostatic,H3K27ac,renal system development (GO:0072001),-2.085,4.86e-08,1e-04,55
Astro,Homeostatic,H3K27ac,neuron differentiation (GO:0030182),-1.694,9.49e-08,1e-04,172
Astro,Homeostatic,H3K27ac,Mesodermal commitment pathway WP2857,-1.724,4.13e-07,3e-04,143
Astro,Homeostatic,H3K27ac,kidney development (GO:0001822),-1.95,4.14e-07,3e-04,68
Astro,Homeostatic,H3K27ac,cellular response to growth factor stimulus (GO:0071363),-1.688,1.1e-06,7e-04,153
Astro,Homeostatic,H3K27ac,positive regulation of MAPK cascade (GO:0043410),-1.578,1.14e-06,7e-04,247
Astro,Homeostatic,H3K27ac,positive regulation of multicellular organismal process (GO:0051240),-1.496,1.91e-06,0.001,332
Astro,Homeostatic,H3K27ac,Calcium signaling pathway,-1.553,3.08e-06,0.0011,238
Astro,Homeostatic,H3K27ac,Development of ureteric collection system WP5053,-2,2.83e-06,0.0011,46
Astro,Homeostatic,H3K27ac,circulatory system development (GO:0072359),-1.757,2.49e-06,0.0011,120
Astro,Homeostatic,H3K27ac,development of primary male sexual characteristics (GO:0046546),-2.005,3.27e-06,0.0011,40
Astro,Homeostatic,H3K27ac,regulation of cell migration (GO:0030334),-1.447,2.67e-06,0.0011,387
Astro,Homeostatic,H3K27ac,male gonad development (GO:0008584),-1.993,4.04e-06,0.0013,40
Astro,Homeostatic,H3K27ac,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),-2.106,5.92e-06,0.0017,25
Astro,Homeostatic,H3K27ac,regulation of endothelial cell proliferation (GO:0001936),-1.795,8.13e-06,0.0022,86
Astro,Homeostatic,H3K27ac,gonad development (GO:0008406),-1.904,1.18e-05,0.0031,48
Astro,Homeostatic,H3K27ac,positive regulation of ossification (GO:0045778),-1.95,1.29e-05,0.0032,39
Astro,Homeostatic,H3K27ac,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),-1.608,1.55e-05,0.0036,153
Astro,Homeostatic,H3K27ac,heart development (GO:0007507),-1.589,1.63e-05,0.0036,156
Astro,Homeostatic,H3K27ac,anterograde trans-synaptic signaling (GO:0098916),-1.523,2.25e-05,0.0048,225
Astro,Homeostatic,H3K27ac,cGMP-PKG signaling pathway,-1.571,2.72e-05,0.0056,163
Astro,Homeostatic,H3K27ac,GDNF/RET signaling axis WP4830,-1.993,3.84e-05,0.0062,22
Astro,Homeostatic,H3K27ac,cell-cell junction assembly (GO:0007043),-1.78,3.35e-05,0.0062,65
Astro,Homeostatic,H3K27ac,negative regulation of B cell activation (GO:0050869),-1.996,3.78e-05,0.0062,22
Astro,Homeostatic,H3K27ac,negative regulation of angiogenesis (GO:0016525),-1.727,4.08e-05,0.0062,80
Astro,Homeostatic,H3K27ac,negative regulation of blood vessel morphogenesis (GO:2000181),-1.778,3.46e-05,0.0062,71
Astro,Homeostatic,H3K27ac,negative regulation of cell population proliferation (GO:0008285),-1.412,3.79e-05,0.0062,364
Astro,Homeostatic,H3K27ac,neuron development (GO:0048666),-1.608,3.96e-05,0.0062,140
Astro,Homeostatic,H3K27ac,positive regulation of cold-induced thermogenesis (GO:0120162),-1.706,3.68e-05,0.0062,96
Astro,Homeostatic,H3K27ac,chordate embryonic development (GO:0043009),-1.823,4.26e-05,0.0063,57
Astro,Homeostatic,H3K27ac,regulation of ERK1 and ERK2 cascade (GO:0070372),-1.513,4.41e-05,0.0063,215
Astro,Homeostatic,H3K27ac,Epithelial Mesenchymal Transition,-1.502,5.81e-05,0.0069,195
Astro,Homeostatic,H3K27ac,Pathways Regulating Hippo Signaling WP4540,-1.663,5.31e-05,0.0069,98
Astro,Homeostatic,H3K27ac,chemical synaptic transmission (GO:0007268),-1.433,6.04e-05,0.0069,283
Astro,Homeostatic,H3K27ac,positive regulation of cell differentiation (GO:0045597),-1.477,5.92e-05,0.0069,250
Astro,Homeostatic,H3K27ac,positive regulation of nucleic acid-templated transcription (GO:1903508),-1.335,5.36e-05,0.0069,496
Astro,Homeostatic,H3K27ac,regulation of Wnt signaling pathway (GO:0030111),-1.672,5.08e-05,0.0069,110
Astro,Homeostatic,H3K27ac,regulation of endothelial cell migration (GO:0010594),-1.685,5.7e-05,0.0069,87
Astro,Homeostatic,H3K27ac,response to amyloid-beta (GO:1904645),-1.854,5.48e-05,0.0069,43
Astro,Homeostatic,H3K27ac,Nephrogenesis WP5052,-2.009,6.47e-05,0.0072,17
Astro,Homeostatic,H3K27ac,cell-cell junction organization (GO:0045216),-1.702,6.72e-05,0.0073,80
Astro,Homeostatic,H3K27ac,Axon guidance,-1.53,7.16e-05,0.0076,182
