peak,logFC,logCPM,F,PValue,FDR,celltype,state,mark,ncells_note
chr4-185955797-185959623,-5.42270565691582,2.48302682257714,17.9676745882511,2.27169743412811e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr14-18657675-18661382,-4.00085940872475,2.88868590591202,17.9242932079079,2.32394539799199e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr12-89913742-89917022,-5.29676106167748,2.40082983912987,16.8900847147954,3.99966577689501e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr13-34933795-34936878,-5.30723727928074,2.4094607963506,16.8879424255395,4.00417314316207e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr2-158258072-158259398,-5.28483954469106,2.39463317437297,16.7249181476905,4.36259239540021e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr8-29557091-29560841,-5.25842426990008,2.37693922573805,16.5348448919661,4.82143663998631e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-16063876-16067666,-5.24730111044175,2.36971387869035,16.4449858752803,5.05496174321854e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr19-29519223-29520889,-5.19684599844888,2.33809525057892,16.0010508622979,6.38678983300121e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr16-58400065-58401389,-5.16700748501761,2.32034513997731,15.724667366458,7.38901048972606e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr1-90498687-90502862,-5.18002704720562,2.33152489735895,15.7195546594969,7.40897024070365e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr20-38645533-38647228,-5.13012304226246,2.29833961970429,15.3871661791136,8.83011324895615e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr17-63729074-63733070,-5.1285849811833,2.29727582590526,15.3728505082845,8.89713969890372e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr1-175169813-175171047,-5.11806833495462,2.29068187110104,15.2987133959527,9.25253320042763e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr7-19245032-19245969,-5.11221510061015,2.28946969995054,15.1705646772466,9.90087775386146e-05,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr14-76423252-76425223,-5.0832107427862,2.27082684099011,14.9684191551121,0.00011017864112272,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-121639158-121640981,-5.07160755803131,2.26267325492855,14.9020805115544,0.000114114188953858,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr7-113547592-113549780,-5.06015103301424,2.25499944416047,14.822189906704,0.000119042065668643,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-169693457-169696219,-3.692363944661,2.7102489651276,14.8025755518934,0.000120284164356559,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr4-144990209-144993061,-5.03280333324208,2.240890668775,14.548381050282,0.000137616022435878,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr20-32663637-32668042,-2.94439244342294,3.13139627188908,14.4120249302691,0.000147927646255984,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr19-5070640-5072049,-5.01077319006295,2.22634319872244,14.4056524126006,0.000148428777250349,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr14-76182140-76185120,-3.64367239730397,2.63921896491737,14.3611839476212,0.000151969203156423,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-27996633-27998100,-5.00373001720061,2.22177131334062,14.35759351833,0.000152258974077115,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr2-138531985-138533286,-5.00386696466607,2.22172177304109,14.3560568350721,0.000152383073730608,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr19-35906821-35908494,-5.00068724935847,2.21970831087495,14.3302272174411,0.000154484339093456,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-2206522-2208222,-3.64009700347485,2.67484315378447,14.3041955226411,0.00015663135718694,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr6-166761639-166762665,-4.99672628419217,2.22084083102076,14.2219693832182,0.00016361352138893,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr5-53396961-53398387,-4.98896305702775,2.21559006302571,14.1693825992476,0.000168242277526977,0.797066515620688,Astro,Homeostatic,H3K27ac,9
chr7-2996129-2997707,-4.97261892671582,2.20106665119738,14.1487095635287,0.000170097865515183,0.797066515620688,Astro,Homeostatic,H3K27ac,9
